g_24260	g_7471	1	2	7066	4407	8	8	910	916	g_10144	g_26384	g_17193	g_28285	+	+
g_17193	g_26384	1	2	25116	9007	17	17	2041	2041	g_24260	g_4241	g_17866	g_7471	-	-
g_11790	g_2651	1	2	8642	40885	4	16	530	2039	g_10491	g_20330	g_8231	g_7069	+	+
g_8231	g_7069	1	2	4415	5807	6	6	726	726	g_11790	g_2651	g_21252	g_27749	-	-
g_21252	g_27749	1	2	9791	4162	5	3	1603	1620	g_8231	g_7069	g_6054	g_19489	+	+
g_5844	g_19489	1	2	2892	4163	2	2	784	763	g_6054	g_27749	g_3790	g_14259	-	-
g_3790	g_14259	1	2	16059	8331	8	8	2236	2251	g_5844	g_19489	g_4434	g_10201	+	+
g_4434	g_10201	1	2	11525	9369	12	12	1413	1413	g_3790	g_14259	g_24252	g_25930	+	+
g_24252	g_25930	1	2	36919	8730	10	11	962	895	g_4434	g_10201	g_26831	g_17715	+	+
g_26831	g_17715	1	2	14331	14583	9	8	1878	1858	g_24252	g_25930	g_13835	g_19018	-	-
g_22020	g_2123	1	2	12986	8503	8	8	1372	1399	g_13835	g_19018	g_33719	g_26056	+	+
g_25416	g_26056	1	2	76593	28382	28	66	3137	7575	g_33719	g_2123	g_4071	g_6280	+	+
g_2698	g_6280	1	2	17302	16230	18	18	1899	1899	g_30678	g_26056	g_24561	g_14655	+	+
g_24561	g_14655	1	2	23563	26747	8	10	1618	2027	g_2698	g_6280	g_18988	g_13109	-	-
g_18988	g_13109	1	2	2256	3910	2	2	1447	1450	g_24561	g_14655	g_9664	g_19189	+	+
g_9664	g_19189	1	2	212	212	1	1	212	212	g_18988	g_13109	g_29976	g_28188	-	-
g_29976	g_28188	1	2	8381	1405	2	2	325	325	g_9664	g_19189	g_34572	g_21824	-	-
g_10144	g_28285	1	2	9121	7952	9	9	1002	996	g_31724	g_7471	g_24260	g_18296	-	-
g_17866	g_18296	1	2	6520	5107	9	9	819	819	g_17193	g_28285	g_19918	g_12456	+	+
g_19918	g_12456	1	2	6956	12185	11	11	1783	1819	g_17866	g_18296	g_21182	g_18040	+	+
g_21182	g_18040	1	2	81434	41183	42	42	4365	4293	g_19918	g_12456	g_1679	g_13456	-	-
g_1679	g_13456	1	2	1415	1412	1	1	1415	1412	g_21182	g_18040	g_763	g_11872	-	-
g_763	g_11872	1	2	8589	9899	7	7	590	590	g_1679	g_13456	g_30510	g_25112	-	-
g_30510	g_25112	1	2	3173	2241	5	5	574	565	g_763	g_11872	g_20528	g_17922	+	+
g_20528	g_17922	1	2	1272	1933	2	2	229	238	g_30510	g_25112	g_30899	g_22447	+	+
g_30899	g_22447	1	2	6518	9920	9	14	666	1129	g_20528	g_17922	g_22740	g_16633	+	+
g_22740	g_16633	1	2	1553	7736	3	11	312	1300	g_30899	g_22447	g_24926	g_4313	-	-
g_11398	g_4313	1	2	28651	24608	6	7	849	1775	g_24926	g_16633	g_724	g_12587	-	-
g_2920	g_18699	1	2	2299	35331	2	15	472	2274	g_5313	g_12587	g_31922	g_4655	-	-
g_6976	g_4655	1	2	1202	1202	1	1	1202	1202	g_32167	g_18699	g_13776	g_819	-	-
g_13776	g_819	1	2	5832	1296	7	3	923	459	g_6976	g_4655	g_2096	g_7834	-	-
g_2096	g_7834	1	2	12688	7306	4	4	374	374	g_13776	g_819	g_12410	g_15512	+	+
g_24582	g_15512	1	2	19775	11708	9	9	1611	1488	g_12410	g_7834	g_6532	g_28555	-	-
g_6532	g_28555	1	2	95062	68068	20	26	2746	2617	g_24582	g_15512	g_10491	g_18586	-	-
g_4264	g_12348	1	2	63253	20569	27	26	3597	3040	g_34572	g_13947	g_22936	g_27529	+	+
g_22936	g_27529	1	2	6699	10083	8	8	1282	1282	g_4264	g_12348	g_7033	g_12111	+	+
g_7033	g_12111	1	2	42857	18623	17	18	1483	1497	g_22936	g_27529	g_28363	g_2929	+	+
g_28363	g_20778	1	2	39368	14118	18	16	1947	1850	g_7033	g_2929	g_11991	g_206	-	-
g_11991	g_206	1	2	25107	17124	12	12	1542	1542	g_28363	g_20778	g_11237	g_31057	-	-
